datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,PN,PN,1641.359,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,PS,PS,3871.804,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,RECO,RECO,124.048,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,PEP,SMECO,372.560,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,PL,UGI,103.824,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,AE,VMEU,69.648,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RTO,RTO,RTO,RTO,81713.026,False
11/1/2025 12:00:00 PM,11/1/2025 8:00:00 AM,RFC,MIDATL,AE,AECO,811.944,False
11/1/2025 12:00:00 PM,11/1/2025 8:00:00 AM,RFC,WEST,AEP,AEPAPT,4397.523,True
11/1/2025 12:00:00 PM,11/1/2025 8:00:00 AM,RFC,WEST,AEP,AEPIMP,3040.274,True
11/1/2025 12:00:00 PM,11/1/2025 8:00:00 AM,RFC,WEST,AEP,AEPKPT,658.897,True
11/1/2025 12:00:00 PM,11/1/2025 8:00:00 AM,RFC,WEST,AEP,AEPOPT,7406.805,True
