timestamp,zone,load
11/19/2024 9:00:00 PM,PAPWR,528.008
11/19/2024 9:00:00 PM,PE,3860.999
11/19/2024 9:00:00 PM,PEPCO,2413.973
11/19/2024 9:00:00 PM,PLCO,4285.012
11/19/2024 9:00:00 PM,RECO,146.71
11/19/2024 9:00:00 PM,PS,4553.56
11/19/2024 9:00:00 PM,SMECO,348.363
11/19/2024 9:00:00 PM,UGI,103.385
11/19/2024 9:00:00 PM,VMEU,77.281
11/19/2024 9:00:00 PM,ME,1655.466
11/19/2024 9:00:00 PM,PN,1956.941
11/19/2024 9:00:00 PM,JC,2271.786
11/19/2024 9:00:00 PM,EASTON,23.459
11/19/2024 9:00:00 PM,EKPC,1370.733
11/19/2024 9:00:00 PM,AECO,954.789
11/19/2024 9:00:00 PM,AEPAPT,4032.78
11/19/2024 9:00:00 PM,AEPIMP,2721.221
11/19/2024 9:00:00 PM,AEPOPT,6559.643
11/19/2024 9:00:00 PM,AP,5208.913
11/19/2024 9:00:00 PM,AEPKPT,561.791
11/19/2024 9:00:00 PM,CE,10087.168
11/19/2024 9:00:00 PM,DAY,1832.7
11/19/2024 9:00:00 PM,DEOK,2635.245
11/19/2024 9:00:00 PM,DOM,12343.09
11/19/2024 9:00:00 PM,DPLCO,1816.975
11/19/2024 9:00:00 PM,DUQ,1379.598
11/19/2024 9:00:00 PM,BC,3097.454
11/19/2024 10:00:00 PM,PEPCO,2256.073
11/19/2024 10:00:00 PM,OE,6278.896
11/19/2024 10:00:00 PM,OVEC,33.0
11/19/2024 10:00:00 PM,PAPWR,485.053
11/19/2024 10:00:00 PM,PE,3660.034
11/19/2024 10:00:00 PM,PLCO,4047.191
11/19/2024 10:00:00 PM,ME,1554.277
11/19/2024 10:00:00 PM,PS,4325.497
11/19/2024 10:00:00 PM,RECO,136.698
11/19/2024 10:00:00 PM,SMECO,315.141
11/19/2024 10:00:00 PM,UGI,105.375
11/19/2024 10:00:00 PM,VMEU,72.487
11/19/2024 10:00:00 PM,PN,1783.647
11/19/2024 10:00:00 PM,JC,2092.076
11/19/2024 10:00:00 PM,EKPC,1270.975
11/19/2024 10:00:00 PM,EASTON,21.633
11/19/2024 10:00:00 PM,AEPAPT,3831.474
11/19/2024 10:00:00 PM,AEPIMP,2619.072
11/19/2024 10:00:00 PM,AEPKPT,539.382
11/19/2024 10:00:00 PM,AEPOPT,6325.165
11/19/2024 10:00:00 PM,AP,4998.387
11/19/2024 10:00:00 PM,BC,2891.38
11/19/2024 10:00:00 PM,AECO,841.893
11/19/2024 10:00:00 PM,DAY,1731.69
11/19/2024 10:00:00 PM,DEOK,2467.992
11/19/2024 10:00:00 PM,DOM,11837.39
11/19/2024 10:00:00 PM,DPLCO,1680.614
11/19/2024 10:00:00 PM,DUQ,1323.808
11/19/2024 10:00:00 PM,CE,9701.833
11/19/2024 11:00:00 PM,OVEC,31.0
11/19/2024 11:00:00 PM,PAPWR,469.431
11/19/2024 11:00:00 PM,PE,3344.818
11/19/2024 11:00:00 PM,PEPCO,2128.39
11/19/2024 11:00:00 PM,PLCO,3808.275
11/19/2024 11:00:00 PM,PN,1655.877
11/19/2024 11:00:00 PM,SMECO,286.824
11/19/2024 11:00:00 PM,RECO,125.976
11/19/2024 11:00:00 PM,UGI,98.301
11/19/2024 11:00:00 PM,VMEU,67.699
11/19/2024 11:00:00 PM,OE,5976.881
11/19/2024 11:00:00 PM,PS,4019.173
11/19/2024 11:00:00 PM,ME,1455.499
11/19/2024 11:00:00 PM,JC,1948.293
11/19/2024 11:00:00 PM,AECO,839.349
11/19/2024 11:00:00 PM,EKPC,1157.948
11/19/2024 11:00:00 PM,AEPAPT,3621.703
11/19/2024 11:00:00 PM,AEPIMP,2486.335
11/19/2024 11:00:00 PM,AEPKPT,511.26
11/19/2024 11:00:00 PM,AP,4757.132
11/19/2024 11:00:00 PM,BC,2676.888
11/19/2024 11:00:00 PM,AEPOPT,6039.952
11/19/2024 11:00:00 PM,DAY,1639.69
11/19/2024 11:00:00 PM,DEOK,2358.449
11/19/2024 11:00:00 PM,DOM,11410.59
11/19/2024 11:00:00 PM,DPLCO,1569.297
11/19/2024 11:00:00 PM,DUQ,1260.412
11/19/2024 11:00:00 PM,EASTON,19.908
11/19/2024 11:00:00 PM,CE,9239.295
11/20/2024 12:00:00 AM,PEPCO,1987.555
11/20/2024 12:00:00 AM,OE,5749.044
11/20/2024 12:00:00 AM,OVEC,32.0
11/20/2024 12:00:00 AM,PAPWR,467.951
11/20/2024 12:00:00 AM,PE,3191.08
11/20/2024 12:00:00 AM,PLCO,3654.952
11/20/2024 12:00:00 AM,ME,1401.818
11/20/2024 12:00:00 AM,PS,3822.975
11/20/2024 12:00:00 AM,RECO,119.43
11/20/2024 12:00:00 AM,SMECO,266.124
11/20/2024 12:00:00 AM,UGI,93.578
11/20/2024 12:00:00 AM,VMEU,64.771
11/20/2024 12:00:00 AM,PN,1563.308
11/20/2024 12:00:00 AM,JC,1858.699
11/20/2024 12:00:00 AM,AECO,789.601
11/20/2024 12:00:00 AM,EASTON,19.024
11/20/2024 12:00:00 AM,EKPC,1177.204
11/20/2024 12:00:00 AM,AEPAPT,3472.714
11/20/2024 12:00:00 AM,AEPIMP,2475.001
11/20/2024 12:00:00 AM,AEPKPT,484.257
11/20/2024 12:00:00 AM,AP,4526.901
11/20/2024 12:00:00 AM,BC,2539.21
11/20/2024 12:00:00 AM,AEPOPT,5852.105
11/20/2024 12:00:00 AM,DAY,1581.68
11/20/2024 12:00:00 AM,DEOK,2241.443
11/20/2024 12:00:00 AM,DOM,11153.54
11/20/2024 12:00:00 AM,DPLCO,1485.302
11/20/2024 12:00:00 AM,DUQ,1216.159
11/20/2024 12:00:00 AM,CE,8769.315
11/20/2024 1:00:00 AM,PEPCO,1893.32
11/20/2024 1:00:00 AM,OE,5619.644
11/20/2024 1:00:00 AM,OVEC,30.0
11/20/2024 1:00:00 AM,PAPWR,444.38
11/20/2024 1:00:00 AM,PE,3065.715
11/20/2024 1:00:00 AM,PLCO,3526.858
11/20/2024 1:00:00 AM,PS,3699.468
11/20/2024 1:00:00 AM,RECO,115.417
11/20/2024 1:00:00 AM,SMECO,255.653
11/20/2024 1:00:00 AM,UGI,89.336
11/20/2024 1:00:00 AM,VMEU,62.893
11/20/2024 1:00:00 AM,ME,1349.869
11/20/2024 1:00:00 AM,PN,1567.462
11/20/2024 1:00:00 AM,JC,1773.849
11/20/2024 1:00:00 AM,AECO,768.939
11/20/2024 1:00:00 AM,EASTON,18.624
11/20/2024 1:00:00 AM,AEPAPT,3383.641
11/20/2024 1:00:00 AM,AEPIMP,2464.177
11/20/2024 1:00:00 AM,AEPKPT,469.52
11/20/2024 1:00:00 AM,AEPOPT,5679.836
11/20/2024 1:00:00 AM,AP,4445.279
11/20/2024 1:00:00 AM,BC,2450.641
11/20/2024 1:00:00 AM,EKPC,1112.891
11/20/2024 1:00:00 AM,DAY,1544.68
11/20/2024 1:00:00 AM,DEOK,2153.9
11/20/2024 1:00:00 AM,DOM,11007.3
11/20/2024 1:00:00 AM,DPLCO,1437.401
11/20/2024 1:00:00 AM,DUQ,1201.998
11/20/2024 1:00:00 AM,CE,8462.489
11/20/2024 2:00:00 AM,OE,5546.752
11/20/2024 2:00:00 AM,OVEC,29.0
11/20/2024 2:00:00 AM,PAPWR,433.69
11/20/2024 2:00:00 AM,PE,2994.934
11/20/2024 2:00:00 AM,PEPCO,1868.17
11/20/2024 2:00:00 AM,PLCO,3495.218
11/20/2024 2:00:00 AM,RECO,112.828
11/20/2024 2:00:00 AM,PS,3615.469
11/20/2024 2:00:00 AM,SMECO,249.865
11/20/2024 2:00:00 AM,UGI,88.047
11/20/2024 2:00:00 AM,VMEU,62.073
11/20/2024 2:00:00 AM,ME,1343.935
11/20/2024 2:00:00 AM,PN,1513.955
11/20/2024 2:00:00 AM,JC,1748.256
11/20/2024 2:00:00 AM,EASTON,18.526
11/20/2024 2:00:00 AM,EKPC,1133.079
11/20/2024 2:00:00 AM,AECO,754.618
11/20/2024 2:00:00 AM,AEPAPT,3316.433
11/20/2024 2:00:00 AM,AEPIMP,2422.129
11/20/2024 2:00:00 AM,AEPOPT,5621.137
11/20/2024 2:00:00 AM,AP,4391.707
11/20/2024 2:00:00 AM,AEPKPT,468.882
11/20/2024 2:00:00 AM,CE,8250.903
11/20/2024 2:00:00 AM,DAY,1524.68
11/20/2024 2:00:00 AM,DEOK,2126.706
11/20/2024 2:00:00 AM,DOM,10969.2
11/20/2024 2:00:00 AM,DPLCO,1421.681
11/20/2024 2:00:00 AM,DUQ,1169.851
11/20/2024 2:00:00 AM,BC,2398.533
11/20/2024 3:00:00 AM,PEPCO,1850.296
11/20/2024 3:00:00 AM,OE,5505.393
11/20/2024 3:00:00 AM,OVEC,31.0
11/20/2024 3:00:00 AM,PAPWR,439.837
11/20/2024 3:00:00 AM,PE,3000.694
11/20/2024 3:00:00 AM,PLCO,3453.058
11/20/2024 3:00:00 AM,ME,1342.289
11/20/2024 3:00:00 AM,PS,3578.923
11/20/2024 3:00:00 AM,RECO,112.15
11/20/2024 3:00:00 AM,SMECO,252.412
11/20/2024 3:00:00 AM,UGI,86.887
11/20/2024 3:00:00 AM,VMEU,62.423
11/20/2024 3:00:00 AM,PN,1588.456
11/20/2024 3:00:00 AM,JC,1746.86
11/20/2024 3:00:00 AM,EKPC,1103.325
11/20/2024 3:00:00 AM,EASTON,18.642
11/20/2024 3:00:00 AM,AECO,749.311
11/20/2024 3:00:00 AM,AEPAPT,3301.815
11/20/2024 3:00:00 AM,AEPIMP,2425.658
11/20/2024 3:00:00 AM,AEPKPT,468.808
11/20/2024 3:00:00 AM,AP,4361.813
11/20/2024 3:00:00 AM,BC,2395.957
11/20/2024 3:00:00 AM,AEPOPT,5572.254
11/20/2024 3:00:00 AM,DAY,1521.68
11/20/2024 3:00:00 AM,DEOK,2104.266
11/20/2024 3:00:00 AM,DOM,11124.83
11/20/2024 3:00:00 AM,DPLCO,1422.9
11/20/2024 3:00:00 AM,DUQ,1166.736
11/20/2024 3:00:00 AM,CE,8124.658
11/20/2024 4:00:00 AM,PEPCO,1917.129
11/20/2024 4:00:00 AM,OE,5655.264
11/20/2024 4:00:00 AM,OVEC,34.0
11/20/2024 4:00:00 AM,PAPWR,437.023
